İlan Tarihi,Marka,Seri,Model,Yıl,Kilometre,Vites Tipi,Yakıt Tipi,Kasa Tipi,Renk,Motor Hacmi,Motor Gücü,Ort. Yakıt Tüketimi,Boya-değişen,Tramer,Maksimum Hız,Price
01 Aralık 2023,Volkswagen,Passat,1.6 TDi BlueMotion Highline,2017,71.000 km,Yarı Otomatik,Dizel,Sedan,Gri,1598 cc,120 hp,4 lt,Tamamı orjinal,Tramer tutarı yok,206 km/s,1.500.000 TL
01 Aralık 2023,Renault,Laguna,1.5 dCi Privilege,2009,239.000 km,Düz,Dizel,Hatchback/5,Siyah,1461 cc,110 hp,4.9 lt,Tamamı boyalı,Tramer tutarı belirtilmemiş,192 km/s,437.500 TL
01 Aralık 2023,Ford,Fusion,1.4 TDCi Comfort,2005,285.000 km,Düz,Dizel,Hatchback/5. 5 Koltuk,Gri (Gümüş),1399 cc,68 hp,4.4 lt,3 değişen. 7 boyalı,Tramer tutarı belirtilmemiş,158 km/s,358.500 TL
01 Aralık 2023,Kia,Sportage,1.6 GDI Cool,2021,75.000 km,Düz,Benzin,Crossover,Siyah,1591 cc,132 hp,6.9 lt,Tamamı orjinal,Tramer tutarı yok,182 km/s,859.000 TL
01 Aralık 2023,Fiat,Doblo,Doblo Cargo 1.2,2005,199.000 km,Düz,Benzin,Panel Van,Gri (Gümüş),1242 cc,65 hp,,4 boyalı,Tramer  900 TL,142 km/s,215.000 TL
01 Aralık 2023,Mercedes - Benz,C,C 200 d BlueTEC Exclusive,2017,167.000 km,Otomatik,Dizel,Sedan,Mavi,1598 cc,136 hp,4.2 lt,Tamamı orjinal,Tramer tutarı belirtilmemiş,218 km/s,1.490.000 TL
01 Aralık 2023,Mercedes - Benz,C,C 180 Exclusive,2014,262.000 km,Otomatik,Benzin,Sedan,Siyah,1595 cc,156 hp,5.8 lt,Tamamı orjinal,Tramer tutarı yok,223 km/s,1.495.000 TL
01 Aralık 2023,Renault,R 19,1.8 Europa RTI,1994,226.000 km,Düz,LPG & Benzin,Hatchback/5,Yeşil,1794 cc,110 hp,,Belirtilmemiş,Tramer tutarı belirtilmemiş,195 km/s,235.000 TL
01 Aralık 2023,Toyota,Corolla,1.6 XL,1993,267.000 km,Düz,LPG & Benzin,Sedan,Bordo,1587 cc,95 hp,,Belirtilmemiş,Tramer tutarı yok,195 km/s,300.000 TL
01 Aralık 2023,Renault,Megane,1.4 Authentique,2006,302.000 km,Düz,LPG & Benzin,Sedan,Gri,1390 cc,98 hp,6.7 lt,Tamamı orjinal,Tramer tutarı yok,185 km/s,425.000 TL
01 Aralık 2023,Volkswagen,Passat,2.0 TDi Comfortline,2007,289.000 km,Düz,Dizel,Sedan,Siyah,1968 cc,140 hp,6.6 lt,5 boyalı,Tramer tutarı Belirtilmemiş,204 km/s,547.000 TL
01 Aralık 2023,Seat,Leon,1.6 TDI CR Style,2012,164.000 km,Yarı Otomatik,Dizel,Hatchback/5,Beyaz,1598 cc,105 hp,4.7 lt,Belirtilmemiş,Bu araç ağır hasar kayıtlıdır.,185 km/s,540.000 TL
01 Aralık 2023,Fiat,Doblo,Doblo Panorama 1.6 Multijet Premio,2011,380.000 km,Düz,Dizel,Camlı Van,Gri (Gümüş),1598 cc,105 hp,,Belirtilmemiş,Tramer  580 TL,164 km/s,475.000 TL
01 Aralık 2023,Honda,CR-V,2.0i ES,2000,275.000 km,Otomatik,LPG & Benzin,Crossover,Siyah,1973 cc,147 hp,9.9 lt,Belirtilmemiş,Tramer tutarı belirtilmemiş,170 km/s,575.000 TL
01 Aralık 2023,Volkswagen,Passat,1.6 TDi BlueMotion Highline,2012,202.000 km,Düz,Dizel,Sedan. 5 Koltuk,Beyaz,1598 cc,105 hp,4.3 lt,1 değişen. 2 boyalı,Tramer  1.000 TL,195 km/s,940.000 TL                                                                                       855.000 TL
01 Aralık 2023,Ford,Fiesta,1.6 Titanium,2016,88.314 km,Yarı Otomatik,LPG & Benzin,Hatchback/5,Beyaz,1596 cc,105 hp,5.9 lt,Belirtilmemiş,Tramer  8.000 TL,184 km/s,740.000 TL
01 Aralık 2023,Volkswagen,Golf,1.6 FSi Comfortline,2004,147.000 km,Düz,Benzin,Hatchback/5,Gri,1598 cc,115 hp,6.7 lt,Belirtilmemiş,Tramer tutarı yok,192 km/s,475.000 TL
